"","loglike","AIC","BIC"
"expert.goodness",201.634858781128,-385.269717562256,-355.858994130686
"stepw.goodness",273.65670639646,-513.31341279292,-457.759824088844
"lasso.goodness",280.134650820569,-360.269301641138,-33.4834857348054
"sPCA.goodness",223.912282720289,-421.824565440577,-379.342409372754
