"","dir.estim","expert.estim","stepw.estim","lasso.estim","sPCA.estim"
"Min.",0.0998892288081564,0.14766530668256,0.1529130364235,0.123969516888743,0.155054263383195
"1st Qu.",0.295542693299771,0.30508095559748,0.30457156303778,0.299064088785981,0.30497447464642
"Median",0.376797331432817,0.37692588090474,0.382599638185104,0.377471153217647,0.376538481905312
"Mean",0.393107484239446,0.391186370324359,0.394749635151998,0.390873696418959,0.393051644509808
"3rd Qu.",0.463773572132494,0.460396370318775,0.466765053376046,0.464165457765486,0.457771665222584
"Max.",0.73685600657581,0.683088806104717,0.692724574394454,0.718584151764557,0.672330501892177
