"","ID_PROV","ANEMIA","se","CV","var"
"101",101,0.265793262057179,0.0204757567832006,7.70364027467172,0.000419256615844785
"102",102,0.363964351392616,0.019492205382688,5.35552597613094,0.000379946070680892
"103",103,0.205048340326289,0.0307142430156451,14.9790254175041,0.000943364724024102
"104",104,0.524793423200611,0.0260893391261242,4.9713540552796,0.000680653616037915
"105",105,0.284890868825371,0.0218100054924272,7.65556494750137,0.000475676339579704
"106",106,0.284016809885282,0.0284946603825939,10.0327372855512,0.000811945670319365
"107",107,0.315052934909288,0.0163350421060267,5.18485635143502,0.000266833600605664
"201",201,0.295684828013143,0.0253949725609542,8.58852743023577,0.000644904631371618
"202",202,0.288320504395899,0.0836615637951516,29.0168623180106,0.00699925725665022
"203",203,0.673543006848565,0.102234757757921,15.1786532884168,0.0104519456938208
"204",204,0.0998892288081564,0.0944183025295004,94.5230067906888,0.00891481585255225
"205",205,0.120900744429743,0.0660287382639127,54.6140047154822,0.00435979427672429
"206",206,0.387398704335167,0.040499939521643,10.4543301431911,0.00164024510125674
"207",207,0.6035794382339,0.0942337936265424,15.6124923510109,0.00888000786124978
"208",208,0.277093248379923,0.0383801837552112,13.850999250111,0.00147303850508378
"210",210,0.426381436468577,0.029294749069083,6.87054983249533,0.000858182323020541
"211",211,0.278608491782045,0.0502575424591363,18.0387690761604,0.00252582057403188
"212",212,0.283384001594984,0.0459783698978623,16.2247585040369,0.00211401049846465
"213",213,0.34315271407966,0.062372766436503,18.1763873276618,0.00389036199294255
"214",214,0.367153975517641,0.13280931195112,36.1726471200198,0.01763831334093
"215",215,0.3633965236171,0.0773131145803599,21.2751387412342,0.00597731768611586
"216",216,0.450012414692255,0.0574303883815954,12.7619564497725,0.00329824950966088
"217",217,0.395931924241001,0.0727847374529279,18.383144423743,0.00529761800609164
"218",218,0.259650787461876,0.0135191614570274,5.20667069381117,0.000182767726501177
"219",219,0.326558833105098,0.0487519078064278,14.9289815078246,0.00237674851476643
"220",220,0.47335653731063,0.0910812760735416,19.241579844026,0.00829579885118471
"301",301,0.326794082396592,0.019183105135398,5.87008950551244,0.000367991522635734
"302",302,0.37671523880311,0.0154742020778264,4.1076655478527,0.000239450929945407
"303",303,0.459271820319726,0.0443597845804915,9.65872117945536,0.00196779048802761
"304",304,0.36691872281828,0.0387799069520972,10.5690728056151,0.00150388118321332
"305",305,0.600123667651449,0.0298613526309836,4.97586651562075,0.000891700380951951
"306",306,0.419307155594612,0.025127299971557,5.99257599978812,0.000631381203860607
"307",307,0.559569013580778,0.0450146220799469,8.04451658105417,0.00202631620100044
"401",401,0.263234551688904,0.00990581611478002,3.7631139420052,9.81251928998355e-05
"402",402,0.293833885507328,0.0455514000827265,15.5024326088458,0.00207493004949662
"403",403,0.270192736614403,0.053595335266321,19.8359644814613,0.00287245996230936
"404",404,0.443063287676999,0.06186064972245,13.9620346444834,0.00382673998408365
"405",405,0.43467323149808,0.0335416768790692,7.71652690998924,0.00112504408785988
"406",406,0.376879424062524,0.11230145387112,29.7977142558172,0.0126116165415674
"407",407,0.235542277309941,0.0445120133179585,18.8976746876684,0.00198131932961811
"408",408,0.340448376027815,0.103778303229493,30.4828310360377,0.0107699362211926
"501",501,0.374823056078011,0.0144758655774824,3.8620531322037,0.000209550684217341
"502",502,0.33020600206007,0.0371935556730492,11.2637430697832,0.00138336058360421
"503",503,0.439033253994365,0.0524341230695806,11.9430869057253,0.00274933726207592
"504",504,0.351737981055389,0.0208776643926398,5.93557293130425,0.000435876870491698
"505",505,0.316869439181057,0.025513605074497,8.05177209276995,0.000650944043897398
"506",506,0.430146418614131,0.0342059148943764,7.95215615291716,0.00117004461376132
"507",507,0.405434171845756,0.0356265422716477,8.78725690768896,0.0012692505142335
"508",508,0.414785934290166,0.0711085212562584,17.1434263743654,0.00505642179525175
"509",509,0.386654125898205,0.0732667470892731,18.9489112314715,0.00536801622904351
"510",510,0.441666549016222,0.0444883852018258,10.0728446156767,0.00197921641786603
"511",511,0.548197925826069,0.100761696314639,18.3805322070132,0.0101529194442036
"601",601,0.23145481425191,0.0169099188180372,7.30592658990141,0.000285945354432608
"602",602,0.316588943430092,0.0303493746133436,9.58636593069941,0.000921084539421063
"603",603,0.212084173792793,0.0354882441567728,16.733093998539,0.00125941547333072
"604",604,0.228613728197033,0.0257223991953028,11.2514674416812,0.000661641820362516
"605",605,0.10945550212765,0.0523615482521173,47.8382056948147,0.00274173173535881
"606",606,0.222895700461139,0.0248744621053542,11.1596868193924,0.000618738865030703
"607",607,0.200863565044575,0.0367827922658881,18.3123267067999,0.00135297380687548
"608",608,0.217510416434832,0.021832883172861,10.0376264873744,0.000476674787639797
"609",609,0.310221144346091,0.0318698394464374,10.2732647426774,0.0010156866663417
"610",610,0.367030537429788,0.0461464930506439,12.5729301364935,0.00212949882087313
"611",611,0.119604720936455,0.0300929252532861,25.1603155942935,0.000905584150299867
"612",612,0.230892737789539,0.0546053724405066,23.6496708225963,0.00298174669936643
"613",613,0.170880082232091,0.0458378931157564,26.8245968266207,0.0021011124452915
"701",701,0.290649133134988,0.00866444266047111,2.98106605962146,7.50725666165917e-05
"801",801,0.455694488351848,0.0185334615531351,4.06708047318429,0.000343489197141536
"802",802,0.560080376452311,0.0672853882422387,12.0135236068154,0.00452732347090879
"803",803,0.502861691131274,0.0398194734717802,7.91857367026696,0.00158559046756981
"804",804,0.439433729173062,0.0460628591342226,10.4823221514891,0.00212178699161924
"805",805,0.525480434352941,0.0701384666216422,13.3474934624366,0.00491940450003521
