"","X","ID_PROV","ANEMIA","se","CV","var","ID_DEP","lasso","gb","mrp","ebma","direct_model_lasso","direct_minus_lasso","direct_minus_gb","direct_model_gb","direct_minus_mrp","direct_model_mrp","direct_minus_ebma","direct_model_ebma","samp_size","log_samp"
"1",101,101,0.265793262057179,0.0204757567832006,7.70364027467172,0.000419256615844785,1,0.253961032874034,0.338291104000314,0.260992292089877,0.282638963899108,1.0465907271255,0.0118322291831455,-0.072497841943135,0.785693915430103,0.00480096996730206,1.01839506419465,-0.0168457018419288,0.94039851544339,568,6.34212141872115
"2",102,102,0.363964351392616,0.019492205382688,5.35552597613094,0.000379946070680892,1,0.394217617571452,0.468276893114585,0.396464866351624,0.370179474978755,0.923257447586414,-0.0302532661788359,-0.104312541721969,0.777241748940099,-0.0325005149590081,0.918024224294862,-0.00621512358613935,0.983210512720901,689,6.53524127101366
"3",103,103,0.205048340326289,0.0307142430156451,14.9790254175041,0.000943364724024102,1,0.244192733952749,0.324237568346757,0.246281721254451,0.251441522856774,0.83969877812157,-0.0391443936264599,-0.119189228020468,0.632401548567621,-0.0412333809281624,0.832576365317988,-0.0463931825304853,0.815491164691554,205,5.32300997913841
"4",104,104,0.524793423200611,0.0260893391261242,4.9713540552796,0.000680653616037915,1,0.529081712365195,0.518114448436235,0.535860340403047,0.463546169479483,0.991894845230212,-0.00428828916458446,0.0066789747643764,1.01289092551759,-0.0110669172024361,0.979347385189745,0.0612472537211277,1.13212762342509,444,6.09582456243222
"5",105,105,0.284890868825371,0.0218100054924272,7.65556494750137,0.000475676339579704,1,0.308584910819554,0.36322786923202,0.311424466534465,0.327605752970795,0.923217107630912,-0.0236940419941825,-0.0783370004066494,0.784330975009492,-0.0265335977090937,0.914799251310085,-0.0427148841454243,0.869614975445098,492,6.19847871649231
"6",106,106,0.284016809885282,0.0284946603825939,10.0327372855512,0.000811945670319365,1,0.32383367248679,0.377041611581746,0.335281791466772,0.33096134907921,0.87704532917857,-0.0398168626015082,-0.0930248016964642,0.753277095050037,-0.0512649815814901,0.847098819899468,-0.0469445391939282,0.858157034576588,292,5.67675380226828
"7",107,107,0.315052934909288,0.0163350421060267,5.18485635143502,0.000266833600605664,1,0.307027304591975,0.381996369048225,0.311059169297152,0.329362871883072,1.02613979342319,0.00802563031731335,-0.0669434341389374,0.824753742278409,0.00399376561213571,1.0128392473405,-0.0143099369737842,0.956552671246854,932,6.83733281468559
"8",201,201,0.295684828013143,0.0253949725609542,8.58852743023577,0.000644904631371618,2,0.258087625555322,0.269738155261398,0.253466944435963,0.263262382879855,1.14567611436977,0.0375972024578205,0.0259466727517447,1.09619207459397,0.0422178835771801,1.16656169375903,0.0324224451332876,1.12315639165237,390,5.96614673912369
"9",202,202,0.288320504395899,0.0836615637951516,29.0168623180106,0.00699925725665022,2,0.365776855496395,0.453261377087376,0.357826355537322,0.36802887400392,0.788241519558748,-0.0774563511004962,-0.164940872691477,0.6361020792211,-0.0695058511414225,0.805755361320295,-0.0797083696080206,0.783418162980409,40,3.68887945411394
"10",203,203,0.673543006848565,0.102234757757921,15.1786532884168,0.0104519456938208,2,0.474459790580479,0.47400472698182,0.496537005477404,0.474623005081747,1.41959976423823,0.199083216268087,0.199538279866745,1.42096263709707,0.177006001371161,1.3564809861472,0.198920001766818,1.41911158885473,22,3.09104245335832
"11",204,204,0.0998892288081564,0.0944183025295004,94.5230067906888,0.00891481585255225,2,0.31865769503954,0.364833166262708,0.293160666514772,0.349974445656109,0.313468748324944,-0.218768466231384,-0.264943937454551,0.273794265558161,-0.193271437706616,0.340732029285119,-0.250085216847953,0.285418635697502,12,2.484906649788
"12",205,205,0.120900744429743,0.0660287382639127,54.6140047154822,0.00435979427672429,2,0.341543390887959,0.39437592106259,0.29837861532829,0.367889704639497,0.353983557156296,-0.220642646458216,-0.273475176632847,0.306562185906262,-0.177477870898547,0.405192390536173,-0.246988960209754,0.328633128095325,27,3.29583686600433
"13",206,206,0.387398704335167,0.040499939521643,10.4543301431911,0.00164024510125674,2,0.369308097269786,0.308638342972792,0.377482539734064,0.34263547482237,1.04898513517337,0.0180906070653806,0.0787603613623754,1.25518657404572,0.00991616460110317,1.02626920071082,0.0447632295127974,1.13064388483418,168,5.12396397940326
"14",207,207,0.6035794382339,0.0942337936265424,15.6124923510109,0.00888000786124978,2,0.441622085909974,0.407217111849858,0.465846537403108,0.433289204688159,1.36673290918005,0.161957352323926,0.196362326384042,1.48220548859558,0.137732900830792,1.2956615317967,0.170290233545741,1.3930174850959,29,3.36729582998647
"15",208,208,0.277093248379923,0.0383801837552112,13.850999250111,0.00147303850508378,2,0.319816847941102,0.27999612654422,0.315241491583758,0.302976549539135,0.866412292422296,-0.0427235995611789,-0.00290287816429735,0.98963243456213,-0.0381482432038348,0.878987239236244,-0.0258833011592125,0.914569952035614,148,4.99721227376411
"16",210,210,0.426381436468577,0.029294749069083,6.87054983249533,0.000858182323020541,2,0.390712314791749,0.351138163829828,0.392973299557741,0.379997450410346,1.09129254524736,0.0356691216768277,0.0752432726387487,1.21428394970822,0.0334081369108361,1.08501375780094,0.0463839860582311,1.12206394018734,329,5.79605775076537
"17",211,211,0.278608491782045,0.0502575424591363,18.0387690761604,0.00252582057403188,2,0.309564594173738,0.298717650024351,0.303503740855638,0.313575644101161,0.900001153315618,-0.0309561023916926,-0.0201091582423059,0.932681720545583,-0.0248952490735934,0.91797383121734,-0.0349671523191158,0.88848894046173,84,4.43081679884331
"18",212,212,0.283384001594984,0.0459783698978623,16.2247585040369,0.00211401049846465,2,0.348012057112262,0.311424265693069,0.346079087984733,0.338738943356461,0.814293630934661,-0.0646280555172775,-0.0280402640980854,0.909961209876558,-0.0626950863897494,0.818841737145022,-0.0553549417614767,0.836585244043742,117,4.76217393479776
"19",213,213,0.34315271407966,0.062372766436503,18.1763873276618,0.00389036199294255,2,0.418565561122279,0.37471247328615,0.401621153893346,0.402320142294116,0.819830263052655,-0.0754128470426188,-0.0315597592064896,0.915776064432238,-0.0584684398136857,0.854418923787036,-0.0591674282144559,0.852934461901235,68,4.21950770517611
"20",214,214,0.367153975517641,0.13280931195112,36.1726471200198,0.01763831334093,2,0.372809193839891,0.431630663476076,0.363445314836517,0.388544026292768,0.984830797051966,-0.00565521832225013,-0.0644766879584351,0.850620696316658,0.00370866068112385,1.01020417798697,-0.0213900507751271,0.944948192926251,14,2.63905732961526
"21",215,215,0.3633965236171,0.0773131145803599,21.2751387412342,0.00597731768611586,2,0.487355976668217,0.430949485917549,0.485952951001819,0.445426821685449,0.74564905534029,-0.123959453051117,-0.067552962300449,0.843246216765708,-0.122556427384719,0.747801866143498,-0.0820302980683491,0.815838889634093,44,3.78418963391826
